len,domainLen,underscore,at,dash,dot,slash,ampersand,question,equal,PhishingResult
6,14,0,0,0,1,0,0,0,0,0
6,14,0,0,0,1,0,0,0,0,0
10,13,0,0,3,1,1,0,0,0,0
9,13,0,0,2,1,1,0,0,0,0
14,18,4,0,0,1,3,0,0,0,0
10,14,0,0,3,1,1,0,0,0,0
20,10,0,0,11,0,4,0,0,0,0
10,12,3,0,0,1,1,0,0,0,0
5,13,0,0,0,0,1,0,0,0,0
9,12,2,0,0,1,1,0,0,0,0
9,12,2,0,0,1,1,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0
11,20,0,0,3,0,3,0,0,0,0
10,16,0,0,4,0,1,0,0,0,0
8,9,0,0,0,0,1,0,1,1,0
10,9,0,0,1,0,3,0,0,0,0
8,20,0,0,1,1,1,0,0,0,0
5,10,0,0,0,0,0,0,0,0,0
7,9,0,0,0,0,1,0,1,0,0
14,12,6,0,1,0,2,0,0,0,0
9,13,0,0,3,0,1,0,0,0,0
9,9,0,0,2,0,2,0,0,0,0
6,18,0,0,0,1,0,0,0,0,0
7,12,1,0,0,0,1,0,0,0,0
8,10,0,0,2,0,2,0,0,0,0
5,13,0,0,0,0,0,0,0,0,0
5,9,0,0,0,0,0,0,0,0,0
8,12,0,0,3,0,1,0,0,0,0
9,10,0,0,0,0,1,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,1,0,0,0,0
9,9,0,0,2,0,2,0,0,0,0
8,9,0,0,2,0,1,0,0,0,0
4,7,0,0,0,0,0,0,0,0,0
12,12,0,0,5,1,1,0,0,0,0
8,11,0,0,2,0,1,0,0,0,0
10,12,2,0,0,1,2,0,0,0,0
10,11,0,0,4,0,1,0,0,0,0
8,16,0,0,2,0,1,0,0,0,0
15,20,0,0,8,0,3,0,0,0,0
7,6,0,0,3,0,0,0,0,0,0
12,11,0,0,4,0,2,0,0,0,0
11,13,0,0,1,0,5,0,0,0,0
11,14,0,0,3,0,3,0,0,0,0
12,22,0,0,5,0,2,0,0,0,0
9,10,0,0,2,0,2,0,0,0,0
13,17,0,0,4,1,4,0,0,0,0
11,19,0,0,6,0,1,0,0,0,0
9,14,0,0,3,0,1,0,0,0,0
8,12,1,0,0,1,1,0,0,0,0
10,14,2,0,0,1,2,0,0,0,0
10,17,3,0,0,1,1,0,0,0,0
12,12,0,0,3,1,2,0,0,0,0
16,19,3,0,2,1,5,0,0,0,0
6,12,0,0,0,0,3,0,0,0,0
14,12,0,0,0,0,3,0,0,0,0
19,11,8,0,2,1,3,0,0,0,0
8,11,2,0,0,0,1,0,0,0,0
9,12,0,0,3,0,1,0,0,0,0
6,12,0,0,0,0,1,0,0,0,0
5,20,0,0,0,0,0,0,0,0,0
7,18,0,0,0,0,2,0,0,0,0
6,13,0,0,0,0,1,0,0,0,0
6,15,0,0,0,0,1,0,0,0,0
6,12,0,0,0,0,1,0,0,0,0
5,17,0,0,0,0,0,0,0,0,0
6,13,0,0,0,0,1,0,0,0,0
4,13,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0
12,12,0,0,0,0,1,0,0,0,0
8,12,0,0,0,0,1,0,0,0,0
8,12,0,0,0,0,1,0,0,0,0
13,14,0,0,3,0,5,0,0,0,0
7,7,0,0,0,1,1,0,0,0,0
12,7,6,0,0,1,0,0,0,0,0
17,17,0,0,5,0,5,0,0,0,0
14,16,0,0,8,0,2,0,0,0,0
12,12,0,0,5,0,2,0,0,0,0
7,16,0,0,2,0,1,0,0,0,0
7,11,0,0,1,0,1,0,0,0,0
10,13,0,0,3,0,2,0,0,0,0
11,17,0,0,5,0,1,0,0,0,0
13,22,0,0,5,0,3,0,0,0,0
12,17,0,0,3,0,4,0,0,0,0
10,16,0,0,3,0,3,0,0,0,0
9,17,0,0,0,0,3,0,0,0,0
15,13,0,0,6,0,4,0,0,0,0
8,13,0,0,1,0,2,0,0,0,0
7,21,0,0,1,1,0,0,0,0,0
10,10,1,0,1,1,2,0,0,0,0
6,18,0,0,1,0,1,0,0,0,0
7,12,0,0,0,3,3,0,0,0,0
5,16,0,1,0,4,3,0,1,1,0
8,16,0,1,0,4,3,0,1,1,0
6,16,1,0,0,4,7,2,1,3,0
13,14,1,0,0,4,7,2,1,3,0
8,17,0,0,0,0,1,0,0,0,0
7,29,0,0,0,0,1,0,0,0,0
7,14,0,0,2,0,1,0,0,0,0
8,12,0,0,0,1,2,0,0,0,0
10,13,0,0,0,0,1,0,0,0,0
8,10,0,0,0,1,2,0,0,0,0
8,10,0,0,0,0,1,0,0,0,0
7,14,0,0,0,0,3,0,0,0,0
8,14,0,0,0,1,1,0,0,0,0
7,12,0,0,0,1,1,0,0,0,0
6,7,0,0,0,0,2,0,0,0,0
12,10,0,0,0,0,1,0,0,0,0
11,10,2,0,1,1,3,3,1,4,0
5,20,0,0,1,1,3,0,0,0,0
7,12,0,0,0,1,1,0,0,0,0
6,13,0,0,0,1,1,0,1,1,0
7,8,0,0,0,1,1,0,1,1,0
8,11,0,0,2,1,1,0,0,0,0
6,10,0,0,1,1,4,0,1,1,0
5,15,0,0,0,0,2,0,0,0,0
8,20,0,0,0,1,2,0,0,0,0
7,8,0,0,0,1,2,0,0,0,0
5,17,0,0,0,1,1,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
11,9,0,0,0,1,1,0,0,0,0
9,9,0,0,1,3,7,0,1,1,0
8,23,0,0,1,3,7,0,1,1,0
8,11,1,1,0,2,1,1,1,2,0
8,14,1,1,0,2,1,1,1,2,0
6,16,0,0,1,0,0,0,0,0,0
7,11,0,0,0,0,2,0,0,0,0
8,13,0,0,0,1,5,0,0,0,0
7,15,0,0,0,0,2,0,0,0,0
8,21,0,0,1,1,1,0,0,0,0
16,16,0,0,0,1,2,0,0,0,0
8,17,0,0,1,1,1,0,0,0,0
6,13,0,0,0,0,2,0,0,0,0
6,14,0,0,0,1,2,0,0,0,0
9,18,0,0,1,1,2,0,0,0,0
20,14,0,0,1,1,3,0,0,0,0
15,14,0,0,1,1,3,0,0,0,0
8,22,0,0,0,1,3,0,0,0,0
8,15,0,0,0,0,2,0,0,0,0
6,10,0,0,0,0,2,0,0,0,0
11,17,0,0,0,0,2,0,0,0,0
7,11,0,0,0,0,1,0,0,0,0
12,10,0,0,1,1,3,0,0,0,0
16,24,1,0,0,1,2,0,0,0,0
10,17,0,0,0,1,7,2,2,4,0
21,11,0,0,1,1,3,0,0,0,0
16,13,0,0,0,1,6,0,0,0,0
8,14,0,0,0,1,0,0,0,0,0
7,11,0,0,0,0,1,0,0,0,0
7,9,0,0,0,1,2,0,0,0,0
7,12,0,0,0,1,0,0,0,0,0
7,16,0,0,1,1,0,0,1,0,0
6,12,0,0,0,1,1,0,0,0,0
8,15,0,0,0,1,3,0,0,0,0
8,11,0,0,0,1,1,0,0,0,0
6,12,0,0,0,0,1,0,0,0,0
13,12,0,0,0,2,2,0,1,1,0
5,17,0,0,0,1,2,0,0,0,0
6,10,0,0,0,0,3,0,0,0,0
8,10,0,0,1,4,3,0,0,0,0
9,6,0,0,0,0,1,0,0,0,0
8,12,0,0,0,0,2,0,0,0,0
6,10,0,0,2,1,0,0,0,0,0
6,11,0,0,2,1,0,0,0,0,0
4,10,0,0,1,1,3,0,0,0,0
7,7,0,0,1,0,3,0,0,0,0
13,11,0,0,0,1,2,0,0,0,0
6,12,0,0,0,0,2,0,0,0,0
8,8,0,0,1,1,2,0,0,0,0
12,13,0,0,0,4,6,0,2,1,0
14,11,0,0,0,0,3,0,0,0,0
15,9,0,0,0,2,1,0,1,1,0
12,12,0,0,2,1,1,0,0,0,0
9,10,0,0,2,1,1,0,0,0,0
8,8,0,0,1,1,2,0,0,0,0
9,12,0,0,1,1,2,0,0,0,0
11,10,1,0,0,4,7,2,1,3,0
12,8,1,0,0,4,7,2,1,3,0
9,18,0,0,1,1,2,0,0,0,0
12,6,0,0,1,1,2,0,0,0,0
7,17,1,0,0,4,7,2,1,3,0
7,23,1,0,0,4,7,2,1,3,0
10,12,0,0,0,1,3,0,0,0,0
9,18,1,0,0,1,0,0,0,0,0
5,12,0,0,0,0,0,0,0,0,0
12,21,0,0,2,1,0,0,0,0,0
12,17,0,0,0,1,3,0,0,0,0
12,9,0,0,0,1,2,0,0,0,0
9,13,0,0,1,0,2,0,0,0,0
5,12,0,0,1,1,2,0,0,0,0
5,17,0,0,1,1,2,0,0,0,0
6,12,1,0,0,4,7,2,1,3,0
8,7,1,0,0,4,7,2,1,3,0
4,20,0,0,0,0,2,0,0,0,0
8,13,0,0,1,0,4,0,0,0,0
5,14,0,0,0,1,0,0,0,0,0
9,18,0,0,0,0,1,0,0,0,0
5,10,0,0,1,0,4,0,0,0,0
4,9,0,0,0,1,1,0,0,0,0
8,13,1,0,0,1,2,0,0,0,0
11,8,0,0,0,0,2,0,0,0,0
6,8,1,0,0,1,4,2,1,3,0
10,12,0,0,1,0,5,0,0,0,0
6,10,0,0,0,0,3,0,0,0,0
8,10,0,0,0,0,2,0,0,0,0
11,14,0,0,5,0,1,0,0,0,0
5,17,0,0,0,0,2,0,0,0,0
9,9,0,0,0,1,0,0,0,0,0
10,14,0,0,0,0,1,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
10,17,0,0,2,1,0,0,0,0,0
9,9,0,0,1,11,7,0,0,0,0
13,9,1,0,0,1,0,0,0,0,0
9,13,1,0,0,1,0,0,0,0,0
8,13,0,0,2,1,0,0,0,0,0
8,12,0,0,2,1,0,0,0,0,0
11,8,0,0,0,3,1,0,0,0,0
9,9,0,0,2,1,0,0,0,0,0
12,11,0,0,0,1,1,0,0,0,0
7,12,0,0,3,0,4,0,0,0,0
5,10,0,0,0,0,0,0,0,0,0
6,16,0,0,0,1,2,0,0,0,0
7,9,0,0,0,3,1,0,0,0,0
7,9,0,0,0,3,1,0,0,0,0
7,18,0,0,0,1,2,0,0,0,0
7,9,0,0,0,2,1,0,1,1,0
5,11,1,0,0,1,3,2,1,3,0
7,15,0,0,0,0,3,0,0,0,0
7,8,0,0,0,0,1,0,0,0,0
7,11,0,0,2,1,0,0,0,0,0
7,12,0,0,0,0,5,0,0,0,0
11,16,0,0,2,2,0,0,1,1,0
9,17,0,0,0,1,0,0,0,0,0
7,16,0,0,1,0,0,0,0,0,0
14,15,1,0,0,1,0,0,0,0,0
8,10,0,0,0,1,0,0,0,0,0
13,12,0,0,2,1,0,0,0,0,0
8,13,0,0,2,1,0,0,0,0,0
10,13,0,1,0,0,5,1,2,3,0
8,12,0,0,0,1,4,0,0,0,0
9,21,0,0,1,0,5,1,1,2,0
4,20,0,0,0,0,2,0,0,0,0
9,40,0,0,0,1,2,0,0,0,0
6,13,0,0,0,1,2,0,0,0,0
11,16,0,0,0,1,5,0,0,0,0
8,18,0,0,0,1,1,0,0,0,0
12,10,0,0,0,0,3,0,0,0,0
8,12,0,0,1,0,4,0,0,0,0
13,13,0,0,0,1,3,0,0,0,0
5,10,0,0,0,0,1,0,0,0,0
5,11,0,0,0,0,2,0,0,0,0
5,19,0,0,0,1,1,0,0,0,0
9,12,0,0,0,1,1,0,0,0,0
5,19,0,0,0,1,0,0,0,0,0
5,17,0,0,1,0,3,0,0,0,0
8,11,2,0,8,4,4,2,1,3,0
6,12,0,0,2,1,0,0,0,0,0
8,10,0,0,0,3,2,0,0,0,0
4,9,0,0,0,0,5,1,2,3,0
6,12,0,0,1,1,3,0,0,0,0
19,14,0,0,2,1,0,0,0,0,0
7,17,0,0,0,1,5,0,0,0,0
6,15,0,0,0,0,5,1,2,3,0
4,12,6,0,0,3,1,3,1,4,0
6,11,0,0,1,1,2,0,0,0,0
7,9,0,0,0,2,2,0,0,0,0
6,15,0,0,0,1,0,0,0,0,0
10,16,0,0,0,3,3,0,0,0,0
9,13,0,0,0,1,0,0,0,0,0
15,13,0,0,0,0,1,0,0,0,0
11,16,0,0,0,0,1,0,0,0,0
8,17,0,0,2,1,0,0,0,0,0
7,10,0,0,0,1,1,0,0,0,0
10,10,0,0,0,0,3,0,1,1,0
10,13,0,0,1,0,0,0,0,0,0
11,13,0,0,0,3,2,0,0,0,0
9,11,0,1,0,1,5,0,0,0,0
8,18,1,0,0,1,0,0,0,0,0
9,8,0,0,0,1,0,0,0,0,0
6,9,0,0,3,0,4,0,0,0,0
4,10,0,0,0,1,1,0,0,0,0
8,12,0,0,1,0,2,0,0,0,0
6,10,0,0,0,0,2,0,0,0,0
9,7,0,0,0,1,4,0,0,0,0
6,14,0,0,0,1,1,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0
10,13,0,0,0,1,3,0,0,0,0
7,11,0,0,0,1,1,0,0,0,0
8,10,0,0,0,1,1,0,0,0,0
7,12,0,0,1,1,3,0,0,0,0
8,15,0,0,2,1,3,0,1,1,0
12,12,0,0,3,0,4,0,0,0,0
9,18,0,0,2,1,0,0,0,0,0
11,15,0,0,3,0,4,0,0,0,0
6,20,0,0,1,1,2,0,0,0,0
11,8,0,0,0,1,2,0,0,0,0
10,17,0,0,0,0,1,0,0,0,0
6,12,0,0,0,1,0,0,0,0,0
13,19,0,0,0,1,0,0,0,0,0
7,12,1,0,1,1,2,1,1,2,0
10,10,0,0,1,1,4,0,0,0,0
8,23,3,0,0,1,2,2,1,4,0
6,19,0,0,0,0,3,0,0,0,0
7,12,0,0,1,1,4,0,0,0,0
7,23,0,0,0,0,1,0,0,0,0
8,15,0,0,0,0,1,0,0,0,0
5,15,0,0,0,0,2,0,0,0,0
7,13,0,0,0,0,3,0,0,0,0
8,10,0,0,1,0,2,0,0,0,0
8,12,0,0,0,1,1,0,0,0,0
15,11,0,0,0,0,1,0,0,0,0
11,23,2,0,1,0,2,3,1,4,0
8,13,0,0,0,1,1,0,0,0,0
8,17,0,0,0,0,3,0,0,0,0
13,13,2,0,0,3,5,0,1,1,0
12,12,0,0,0,0,1,0,0,0,0
8,14,0,0,0,0,0,0,0,0,0
24,13,0,0,2,1,5,0,0,0,0
13,16,0,0,2,1,5,0,0,0,0
7,12,0,0,0,1,2,0,0,0,0
8,15,0,0,2,1,0,0,0,0,0
5,20,0,0,0,0,1,0,0,0,0
7,13,0,0,2,1,0,0,0,0,0
8,12,0,0,1,13,1,12,2,9,0
10,9,0,0,0,1,0,0,0,0,0
8,10,0,0,0,1,13,0,0,0,0
8,9,0,0,0,1,0,0,0,0,0
12,16,0,0,0,1,0,0,0,0,0
8,10,0,0,0,1,0,0,0,0,0
12,11,0,0,0,1,0,0,0,0,0
8,11,0,0,0,1,0,0,0,0,0
8,8,0,0,1,1,2,0,0,0,0
16,13,0,0,0,1,1,0,0,0,0
8,8,0,0,0,1,1,0,0,0,0
5,20,0,0,0,1,1,0,0,0,0
13,12,0,0,0,1,2,0,0,0,0
13,19,0,0,0,0,5,1,2,3,0
15,21,0,0,0,0,2,0,0,0,0
12,11,0,1,1,1,7,0,0,0,0
7,12,0,0,1,1,1,0,0,0,0
7,8,0,0,0,1,2,0,0,0,0
8,13,0,0,0,1,1,0,0,0,0
8,12,0,0,0,0,3,0,0,0,0
11,7,0,0,0,1,1,0,0,0,0
7,15,0,0,1,1,0,0,0,0,0
9,15,0,0,1,1,3,0,0,0,0
6,12,0,0,0,0,3,0,0,0,0
7,16,2,0,0,0,2,0,0,0,0
8,10,2,0,0,1,1,0,0,0,0
4,22,0,0,0,1,1,0,0,0,0
5,7,0,0,0,0,6,0,0,0,0
5,8,0,0,0,1,2,0,0,0,0
7,12,0,0,0,1,1,0,0,0,0
8,10,0,0,1,1,2,0,0,0,0
6,8,0,0,3,1,3,0,0,0,0
4,14,0,0,1,0,6,0,0,0,0
11,12,0,0,1,0,4,0,0,0,0
6,14,0,0,0,0,1,0,0,0,0
8,14,0,0,0,1,0,1,1,2,0
7,8,0,0,1,1,7,0,0,0,0
8,19,1,0,1,0,7,2,1,3,0
6,11,0,0,0,1,1,0,0,0,0
5,22,0,0,0,1,4,0,0,0,0
8,18,0,0,0,1,1,0,0,0,0
7,17,1,0,0,0,2,2,1,3,0
8,7,0,0,0,1,0,0,0,0,0
5,11,0,0,0,1,1,0,0,0,0
10,12,0,0,0,0,3,0,0,0,0
8,15,0,0,0,1,0,0,0,0,0
10,7,0,0,0,0,2,0,0,0,0
9,8,0,0,0,1,3,0,0,0,0
12,13,0,0,1,2,8,0,0,0,0
8,7,0,0,0,1,2,0,0,0,0
10,6,0,0,0,0,2,0,0,0,0
12,9,0,0,0,0,1,0,0,0,0
10,25,0,0,0,0,3,0,0,0,0
9,18,0,0,0,0,2,0,0,0,0
14,9,0,0,0,0,0,0,0,0,0
15,7,0,0,0,1,1,0,0,0,0
6,12,0,0,1,1,4,0,0,0,0
8,11,0,0,1,1,4,0,0,0,0
6,23,0,0,0,1,5,0,0,2,0
8,10,0,0,2,0,1,0,0,0,0
6,12,0,0,0,0,2,0,0,0,0
5,15,0,0,0,0,1,0,0,0,0
6,8,0,0,1,1,5,0,0,0,0
8,10,0,0,0,1,1,0,0,0,0
7,14,0,0,0,1,0,0,0,0,0
6,13,1,0,0,1,0,0,0,0,0
10,23,0,0,0,3,3,0,0,0,0
6,13,0,0,0,0,3,0,0,0,0
9,11,0,0,1,1,4,0,0,0,0
5,11,1,0,0,1,0,0,0,0,0
8,9,0,0,0,0,2,0,0,0,0
6,10,0,0,0,0,2,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0
8,12,0,0,0,0,1,0,0,0,0
12,10,0,0,0,1,1,0,0,0,0
11,5,2,0,0,1,4,0,0,0,0
8,12,0,0,0,2,1,0,0,0,0
6,11,0,0,0,0,3,0,0,0,0
16,7,0,0,1,1,4,0,0,0,0
4,10,1,0,0,0,7,0,0,0,0
8,10,0,0,0,0,4,0,0,0,0
16,23,0,0,0,0,6,0,0,0,0
10,9,0,0,0,0,1,0,0,0,0
11,10,0,0,1,1,4,0,0,0,0
14,9,0,0,0,0,6,0,0,0,0
5,13,0,0,0,0,6,0,0,0,0
9,5,0,0,2,2,5,0,0,0,0
26,18,0,0,0,1,4,0,0,0,0
16,12,0,0,0,2,3,0,0,0,0
10,12,0,0,0,1,2,0,0,0,0
9,11,0,0,3,0,1,0,0,0,0
12,7,1,0,0,1,3,2,1,3,0
7,9,1,0,0,1,3,2,1,3,0
7,14,1,0,0,1,3,2,1,3,0
6,9,1,0,0,1,3,2,1,3,0
11,24,0,0,0,1,0,0,0,0,0
11,9,0,0,0,1,4,2,1,3,0
12,10,0,0,1,1,3,0,0,0,0
8,10,0,0,0,1,3,0,0,0,0
10,26,1,0,0,2,3,2,1,3,0
7,19,0,0,0,0,2,0,0,0,0
7,17,0,0,0,1,1,0,0,0,0
7,13,0,0,0,0,5,0,0,0,0
7,15,0,0,0,0,5,0,0,0,0
7,14,0,0,0,1,5,0,0,0,0
10,7,1,0,5,1,3,0,0,0,0
6,12,0,1,0,3,4,0,1,1,0
7,11,2,0,0,1,0,1,1,2,0
5,11,0,0,0,1,5,0,0,0,0
6,23,1,0,0,0,2,0,0,0,0
6,13,1,0,0,0,2,0,0,0,0
6,12,3,0,0,1,3,2,1,4,0
9,14,0,0,0,0,1,0,0,0,0
7,12,0,0,0,1,1,0,0,0,0
7,19,0,0,0,1,1,0,0,0,0
6,10,0,0,0,1,4,0,0,0,0
9,12,0,0,0,0,3,0,0,0,0
7,13,0,0,0,0,2,0,0,0,0
10,9,0,0,0,5,8,0,0,0,0
11,11,0,0,0,0,0,0,0,0,0
11,18,0,0,0,0,3,0,0,0,0
6,17,0,0,0,0,1,0,0,0,0
10,10,0,0,0,0,3,0,0,0,0
8,8,0,0,0,1,2,0,0,0,0
11,16,0,0,0,1,0,0,0,0,0
5,15,0,0,1,0,0,0,0,0,0
6,13,0,0,0,0,3,0,0,0,0
7,18,0,0,0,1,2,0,0,0,0
5,20,0,0,1,0,3,0,0,0,0
6,13,0,0,0,0,2,0,0,0,0
5,17,1,0,0,1,1,0,0,0,0
7,19,0,0,0,1,2,0,0,0,0
8,12,0,0,0,0,1,0,0,0,0
6,14,0,0,0,0,2,0,0,0,0
7,17,0,0,0,0,2,0,0,0,0
6,8,0,0,0,0,1,0,0,0,0
12,14,0,0,0,0,1,0,0,0,0
9,17,1,0,0,0,2,0,0,0,0
8,6,1,0,0,0,2,0,0,0,0
7,8,1,0,0,0,1,0,0,0,0
10,24,1,0,0,0,1,0,0,0,0
9,13,0,0,0,1,2,0,0,0,0
9,9,0,0,1,0,3,0,0,0,0
11,10,3,0,0,1,0,0,0,0,0
8,12,0,0,1,1,4,0,0,0,0
8,8,0,0,1,1,4,0,0,0,0
8,12,1,0,0,0,1,0,0,0,0
7,13,0,0,0,1,4,0,0,0,0
4,14,0,0,0,0,2,0,0,0,0
8,12,0,0,0,0,3,0,0,0,0
9,10,0,0,0,1,2,0,0,0,0
9,6,3,0,0,1,3,2,1,3,0
9,13,0,0,0,1,3,0,1,1,0
10,12,0,0,1,0,4,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
11,12,0,0,0,1,1,0,0,0,0
8,12,1,0,0,0,6,0,0,0,0
8,11,0,0,0,0,3,0,0,0,0
8,12,0,0,0,1,3,0,1,0,0
6,13,0,0,0,2,5,0,1,1,0
13,12,0,1,0,2,5,0,1,1,0
17,13,0,0,0,2,1,0,0,0,0
9,13,0,0,0,1,2,0,0,0,0
8,9,0,0,0,0,2,0,0,0,0
4,20,0,0,0,0,2,0,0,0,0
8,8,2,0,1,0,2,3,1,4,0
8,12,0,0,0,2,12,0,2,2,0
10,10,0,0,0,0,2,0,0,0,0
13,18,0,0,0,1,3,0,0,0,0
12,12,0,0,0,1,2,0,1,4,0
15,9,0,0,1,1,1,0,0,0,0
19,19,0,0,0,0,2,0,0,0,0
9,8,0,0,0,0,1,0,0,0,0
10,21,0,0,0,0,2,0,0,0,0
7,9,0,0,0,0,2,0,0,0,0
15,13,0,0,0,0,2,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
7,13,0,0,0,2,10,0,2,2,0
5,11,0,0,0,0,2,0,0,0,0
10,9,0,0,0,0,2,0,0,0,0
13,20,0,0,1,0,4,0,0,0,0
10,13,0,0,0,1,0,0,0,0,0
7,13,0,0,0,0,2,0,0,0,0
13,11,0,0,0,1,1,0,0,0,0
8,12,0,0,1,1,1,0,0,0,0
8,13,0,0,0,1,5,0,0,0,0
7,15,0,0,0,0,3,0,0,0,0
17,19,0,0,1,0,3,0,1,1,0
9,9,0,0,1,1,5,0,0,0,0
13,6,0,0,0,0,2,0,0,0,0
15,13,0,0,0,1,10,0,0,0,0
8,5,0,0,1,0,2,0,0,0,0
11,7,0,0,0,0,3,0,0,0,0
13,14,0,1,0,1,4,0,1,1,0
10,9,0,0,0,1,2,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
8,13,0,0,0,0,2,0,0,0,0
13,12,0,0,0,1,2,0,0,0,0
14,12,0,0,0,0,3,0,0,0,0
12,15,0,0,0,0,3,0,0,0,0
8,8,0,0,0,0,3,0,0,0,0
7,15,0,0,0,0,1,0,0,0,0
9,9,0,0,0,0,2,0,0,0,0
25,12,0,0,0,4,2,0,0,0,0
10,19,0,0,0,0,2,0,0,0,0
6,14,0,0,0,0,2,0,0,0,0
14,21,0,0,0,0,3,0,0,0,0
9,12,0,0,0,0,2,0,0,0,0
9,14,0,0,0,0,3,0,0,0,0
8,9,0,0,0,0,1,0,0,0,0
6,16,0,0,1,0,3,0,0,0,0
9,14,0,0,1,1,2,0,0,0,0
9,8,0,0,0,1,3,0,0,0,0
10,13,1,0,0,1,2,2,1,3,0
10,12,0,0,0,0,3,0,0,0,0
8,10,0,1,0,1,4,0,1,1,0
6,14,0,1,0,2,4,0,1,1,0
6,14,0,0,0,1,3,0,0,0,0
9,13,0,0,1,1,4,0,0,0,0
5,14,0,0,1,1,2,0,0,0,0
5,14,0,0,1,0,4,0,0,0,0
6,13,0,0,0,0,2,0,0,0,0
9,13,0,0,0,0,2,0,0,0,0
7,12,0,0,0,0,1,0,0,0,0
6,13,0,0,0,0,2,0,0,0,0
7,11,0,1,1,3,5,0,1,1,0
7,9,0,0,0,0,3,0,0,0,0
9,14,0,0,0,1,1,1,1,2,0
