ranking,isIp,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label,dots,question,&,/,=,underscore,valid
10000000,0,366,51,0,0,0,22,1,1,4,0,0,3,0,0,1
10000000,0,0,91,0,0,0,17,2,1,4,1,2,2,3,0,0
10000000,0,0,103,0,0,0,33,6,1,9,1,3,5,4,0,0
10000000,0,0,178,0,0,1,170,11,1,11,0,0,2,0,0,0
10000000,0,0,165,0,0,1,133,7,1,8,0,0,5,0,0,0
54827,0,6574,61,0,0,0,25,3,1,4,0,0,3,0,0,1
10000000,0,0,153,0,0,0,19,1,1,4,1,0,3,1,0,0
10000000,0,0,28,0,0,0,23,1,1,1,0,0,2,0,0,0
5001,0,8035,27,0,0,0,16,2,0,2,0,0,2,0,0,1
10000000,0,0,44,0,0,0,8,2,1,4,0,0,4,0,0,0
10000000,0,5478,61,0,0,0,18,3,1,6,0,0,4,0,0,1
10000000,0,2192,79,0,0,0,13,1,1,1,0,0,6,0,0,1
10000000,0,0,84,0,0,0,15,3,1,4,0,0,7,0,1,0
4,0,10228,36,0,0,0,21,3,0,3,0,0,3,0,0,1
11,0,7305,35,0,0,0,34,2,1,2,0,0,1,0,0,1
976696,0,10591,26,0,0,0,16,2,0,2,0,0,1,0,0,1
10000000,0,5844,99,0,0,0,20,2,1,6,2,1,8,2,0,1
10000000,0,0,145,0,0,1,111,10,1,10,0,0,2,0,0,0
10000000,0,6210,54,0,0,0,20,2,0,3,1,0,2,1,0,1
10000000,0,0,35,0,0,0,16,1,1,2,0,0,2,0,1,0
2547,0,8035,46,0,0,0,17,2,0,3,0,0,3,0,0,1
10000000,0,366,32,0,0,0,15,2,1,2,0,0,2,0,0,1
314865,0,6940,38,0,0,0,15,2,0,3,0,0,2,0,0,1
174672,0,9861,64,0,0,0,21,2,0,3,0,0,4,0,0,1
5530,0,5844,85,0,0,0,12,1,0,2,0,0,3,0,6,1
10000000,0,3653,76,0,0,0,25,2,1,3,0,0,3,0,0,1
10000000,0,3653,121,0,0,0,12,2,1,6,2,1,5,2,0,1
236871,0,7304,72,0,0,0,14,2,1,2,0,0,6,0,0,1
14969,0,9133,26,0,0,0,14,2,0,2,0,0,2,0,0,1
29,0,10959,42,0,0,0,17,2,0,2,0,0,4,0,0,1
2547,0,8035,46,0,0,0,17,2,0,3,0,0,3,0,0,1
10000000,0,0,170,0,0,0,26,2,1,3,1,1,4,2,1,0
44061,0,4017,33,0,0,0,13,1,1,2,0,0,2,0,0,1
10000000,0,366,43,0,0,0,23,2,1,2,0,0,3,0,0,1
10000000,0,3288,71,0,0,1,70,6,1,6,0,0,1,0,0,1
10000000,0,0,76,0,0,0,27,1,1,1,0,0,3,1,0,0
4570,0,6939,369,0,0,1,44,2,1,3,1,2,3,3,2,1
10000000,0,0,107,0,0,0,14,1,1,2,0,0,5,0,0,0
656,0,9862,19,0,0,0,11,1,1,1,0,0,1,0,0,1
10000000,0,0,76,0,0,0,27,1,1,1,0,0,3,1,0,0
10000000,0,731,94,0,0,0,15,2,1,5,2,2,4,3,0,1
10000000,0,7305,54,0,0,0,15,2,0,3,0,0,3,0,0,1
10000000,0,0,44,0,0,0,16,2,0,2,0,0,3,0,2,0
10000000,0,7671,18,0,0,0,11,1,0,1,0,0,2,0,0,1
61781,0,0,47,0,0,0,15,2,0,3,0,0,3,0,1,0
10000000,0,0,60,0,0,0,18,2,1,2,0,0,3,0,0,0
10000000,0,0,50,0,0,0,23,2,1,4,0,0,2,0,1,0
10000000,0,0,113,0,0,0,11,1,1,2,1,0,2,3,1,0
51908,0,4749,18,0,0,0,17,2,1,2,0,0,1,0,0,1
10000000,0,7305,38,0,0,0,17,2,0,3,0,0,2,0,0,1
10000000,0,0,356,0,0,1,201,12,1,12,1,0,2,0,0,0
10000000,0,0,63,0,0,0,28,3,1,3,0,0,4,0,1,0
10000000,0,0,30,0,0,0,23,1,1,1,0,0,2,0,0,0
10000000,0,366,92,0,0,0,12,1,1,5,2,1,8,2,0,1
10000000,0,6575,51,0,0,0,18,2,0,3,0,0,2,0,0,1
10000000,0,0,123,0,0,1,31,2,1,6,0,0,11,0,0,0
1,0,11322,34,0,0,0,17,2,0,2,0,0,2,0,0,1
483,0,10226,31,0,0,0,10,2,0,2,0,0,3,0,0,1
44061,0,4017,33,0,0,0,13,1,1,2,0,0,2,0,0,1
29330,0,12419,31,0,0,0,12,2,0,2,0,0,4,0,0,1
86595,0,6940,48,0,0,1,23,2,0,3,0,0,4,0,0,1
10000000,0,0,41,0,0,0,17,3,0,3,0,0,3,0,0,0
10000000,0,8035,29,0,0,0,18,2,0,3,0,0,1,0,0,1
10000000,0,6574,125,0,0,0,19,2,1,5,0,0,9,0,0,1
10000000,0,0,44,0,0,0,19,2,1,5,0,0,2,0,0,0
36891,0,9132,21,0,0,0,15,1,0,1,0,0,2,0,0,1
10401,0,0,65,0,0,0,17,3,0,5,0,0,5,0,0,0
576,0,12419,51,0,0,0,11,2,0,2,0,0,5,0,0,1
182219,0,0,64,0,0,0,16,3,1,4,0,0,4,0,0,0
10000000,0,0,57,0,0,1,14,2,1,2,0,0,6,0,0,0
78144,0,8400,128,0,0,0,17,2,0,2,1,3,5,4,0,1
10000000,0,0,49,0,0,0,26,2,1,3,0,0,2,0,0,0
158686,0,5113,19,0,0,0,18,2,1,2,0,0,1,0,0,1
2852,0,0,52,0,0,0,18,3,0,4,0,0,3,0,0,0
10000000,0,0,73,0,0,0,20,2,1,3,0,0,6,0,1,0
10000000,0,1460,19,0,0,0,9,1,0,1,0,0,2,0,0,1
10000000,0,0,35,0,0,0,18,2,0,3,0,0,1,0,0,0
213718,0,5844,34,0,0,0,18,2,1,2,0,0,3,0,0,1
10000000,0,6209,117,0,0,0,15,2,1,3,0,0,7,0,0,1
10000000,0,0,98,0,0,0,22,1,1,3,1,0,6,0,0,0
38609,0,9861,65,0,0,0,12,2,0,3,0,0,3,0,3,1
10000000,0,0,71,0,0,0,19,1,1,2,0,0,6,0,0,0
10000000,0,8400,51,0,0,0,20,2,0,4,0,0,3,0,0,1
4570,0,6939,369,0,0,1,44,2,1,3,1,2,3,3,2,1
411,0,10593,43,0,0,0,16,2,0,3,0,0,5,0,0,1
10000000,0,3653,235,0,0,1,218,13,1,14,0,0,1,0,0,1
10000000,0,0,49,0,0,0,14,1,1,2,0,0,3,0,1,0
10000000,0,6210,27,0,0,0,21,2,0,2,0,0,2,0,0,1
3702,0,0,27,0,0,0,15,3,0,3,0,0,2,0,0,0
13156,0,0,60,0,0,0,13,2,0,3,0,0,4,0,0,0
6,0,8035,43,0,0,0,16,2,0,2,0,0,2,0,3,1
51,0,12420,27,0,0,0,19,2,0,2,0,0,2,0,0,1
670140,0,7670,41,0,0,0,16,2,0,3,0,0,3,0,0,1
10000000,0,1827,89,0,0,0,16,2,1,6,2,1,8,2,0,1
10000000,0,0,52,0,0,0,19,1,1,1,0,0,5,0,0,0
186750,0,10228,19,0,0,0,14,2,0,2,0,0,2,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,27,0,0,0,26,3,1,3,0,0,1,0,0,0
10000000,0,4383,63,0,0,0,15,2,1,4,1,0,5,2,0,1
10000000,0,7671,28,0,0,0,15,2,0,3,0,0,2,0,0,1
10000000,0,6940,23,0,0,0,17,2,0,2,0,0,2,0,0,1
10000000,0,0,91,0,0,1,55,1,1,2,0,0,2,1,0,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
4570,0,6939,361,0,0,1,44,2,1,3,1,2,3,3,5,1
55441,0,3652,12,0,0,0,6,1,1,1,0,0,1,0,0,1
10000000,0,0,14,0,0,0,8,1,1,1,0,0,2,0,0,0
10000000,0,6574,230,0,0,0,17,2,1,3,1,1,11,2,2,1
10000000,0,8035,33,0,0,0,23,2,0,3,0,0,1,0,0,1
10000000,0,2922,129,0,0,0,21,1,1,3,0,0,10,0,0,1
4570,0,6939,343,0,0,1,44,2,1,3,1,1,3,2,6,1
10000000,0,5844,105,0,0,0,14,2,1,7,2,1,8,2,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,3653,103,0,0,0,14,2,1,7,2,1,8,2,0,1
10000000,0,3288,59,1,0,0,16,1,1,3,1,0,3,0,0,1
10000000,0,0,35,0,0,0,34,3,1,3,0,0,1,0,0,0
160574,0,4749,80,0,0,0,21,2,1,3,1,1,1,3,2,1
10000000,0,8765,27,0,0,0,13,2,0,3,0,0,1,0,0,1
10000000,0,0,26,0,0,0,20,3,0,3,0,0,2,0,0,0
10000000,0,2557,46,0,0,0,21,2,0,3,0,0,2,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,43,0,0,0,25,2,1,2,0,0,3,0,0,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,5114,44,0,0,0,14,1,1,2,0,0,3,0,0,1
10000000,0,0,171,0,0,1,137,7,1,7,0,0,2,0,0,0
10000000,0,0,39,0,0,0,7,1,1,2,0,0,4,0,0,0
10000000,0,0,43,0,0,0,22,2,1,4,0,0,2,0,0,0
11,0,7305,35,0,0,0,34,2,1,2,0,0,1,0,0,1
10000000,0,6575,35,0,0,0,15,3,1,3,0,0,3,0,0,1
414686,0,9860,43,0,0,1,25,2,0,3,1,0,2,1,0,1
10000000,0,4018,24,0,0,0,23,3,1,3,0,0,1,0,0,1
10000000,0,9130,18,0,0,0,7,1,0,1,0,0,2,0,0,1
10000000,0,7305,33,0,0,0,22,2,0,2,0,0,2,0,0,1
212659,0,9861,25,0,0,0,16,2,0,3,0,0,1,0,0,1
1267,0,9496,34,0,0,0,20,2,0,2,0,0,2,0,0,1
10000000,0,0,101,0,0,0,11,1,1,1,0,0,4,2,0,0
10000000,0,6574,14,0,0,1,13,2,1,2,0,0,1,0,0,1
10000000,0,0,47,0,0,1,29,2,1,3,0,0,1,0,0,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,43,0,0,1,19,3,1,4,0,0,2,0,0,0
10000000,0,9862,47,0,0,0,20,2,1,2,0,0,5,0,0,1
583715,0,7373,29,0,0,0,20,2,0,3,0,0,1,0,0,1
23714,0,4017,17,0,0,0,16,2,1,2,0,0,1,0,0,1
31046,0,8400,34,0,0,0,24,2,0,2,0,0,2,0,0,1
10000000,0,0,28,0,0,0,18,3,0,4,0,0,1,0,0,0
10000000,0,0,22,0,0,1,21,2,1,2,0,0,1,0,0,0
10000000,0,8402,39,0,0,0,17,3,0,4,0,0,2,0,0,1
10000000,0,366,310,0,0,0,209,12,1,12,0,0,4,1,0,1
10000000,0,0,136,0,0,1,30,4,1,5,1,1,1,2,1,0
10000000,0,0,48,0,0,0,24,3,1,4,1,0,2,1,0,0
10000000,0,0,49,0,0,0,8,1,1,1,0,0,5,0,1,0
10000000,0,9132,106,0,0,0,13,2,1,7,2,1,8,2,0,1
10000000,0,3653,56,0,0,0,18,1,1,2,0,0,2,0,1,1
10000000,0,0,159,0,0,0,13,1,1,2,1,1,4,2,1,0
10000000,0,3653,73,0,0,0,41,5,1,8,0,0,2,0,0,1
10000000,0,9385,19,0,0,0,12,2,0,2,0,0,1,0,0,1
10000000,0,0,32,0,0,1,19,3,1,3,0,0,3,0,0,0
35867,0,0,29,0,0,0,14,3,0,3,0,0,3,0,0,0
755,0,6940,33,0,0,0,21,2,1,3,0,0,1,0,0,1
10000000,0,0,54,0,0,0,19,3,1,4,0,0,3,0,0,0
10000000,0,6209,30,0,0,0,21,2,0,2,0,0,2,0,0,1
10000000,0,0,67,0,0,1,50,5,1,5,0,0,4,0,0,0
334598,0,8036,35,0,0,0,16,2,0,3,1,0,1,1,0,1
10000000,0,6574,20,0,0,0,8,1,0,2,0,0,1,0,0,1
10000000,0,0,33,0,0,0,11,1,1,2,0,0,3,0,0,0
10000000,0,0,55,0,0,0,30,2,1,3,0,0,3,0,0,0
10000000,0,0,152,0,0,1,33,3,1,3,2,1,3,2,1,0
10000000,0,0,142,0,0,0,108,14,1,14,0,0,2,0,0,0
10000000,0,0,27,0,0,0,15,3,1,3,0,0,3,0,0,0
10000000,0,1827,106,0,0,0,11,1,1,2,1,0,2,3,0,1
10000000,0,4748,21,0,0,0,21,2,1,2,0,0,0,0,0,1
10000000,0,0,28,0,0,0,22,2,0,2,0,0,2,0,0,0
31379,0,0,32,0,0,0,22,4,0,4,0,0,2,0,0,0
10000000,0,0,94,0,0,0,14,2,1,6,2,1,8,2,0,0
833,0,8765,63,0,0,0,16,2,0,2,0,0,3,0,0,1
4570,0,6939,369,0,0,1,44,2,1,3,1,2,3,3,6,1
10000000,0,4383,26,0,0,0,19,1,1,1,0,0,2,0,0,1
2344,0,8767,44,0,0,0,17,2,0,3,0,0,3,0,0,1
10000000,0,8766,31,0,0,0,16,2,0,3,0,0,1,0,0,1
10000000,0,0,47,0,0,0,7,1,1,1,0,0,5,0,1,0
10000000,0,0,180,0,0,1,78,7,1,12,0,0,4,0,0,0
13579,0,0,60,0,0,0,16,2,0,3,0,0,5,0,0,0
10000000,0,0,44,0,0,0,24,2,1,3,0,0,2,0,0,0
10000000,0,4018,44,0,0,0,13,1,1,2,0,0,4,0,0,1
10000000,0,0,90,0,0,1,36,6,1,6,1,1,5,2,2,0
10000000,0,8400,35,0,0,0,16,2,0,3,0,0,3,0,0,1
10000000,0,4760,33,0,0,0,12,1,1,1,0,0,2,0,1,1
14972,0,0,40,0,0,0,16,3,0,4,0,0,3,0,0,0
14969,0,9133,26,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,47,0,0,0,13,1,1,2,0,0,4,0,0,0
4570,0,6939,337,0,0,1,44,2,1,3,1,1,3,4,3,1
10000000,0,0,34,0,0,0,25,2,0,3,0,0,1,0,0,0
10000000,0,0,67,0,0,0,27,1,1,2,0,0,4,0,0,0
10000000,0,0,103,0,0,0,30,5,1,7,1,1,5,2,1,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,32,0,0,0,12,2,1,3,0,0,3,0,0,0
10000000,0,731,68,0,0,0,27,3,1,6,0,0,6,0,0,1
10000000,0,0,34,0,0,0,15,1,1,2,0,0,2,0,0,0
483,0,10226,30,0,0,0,10,2,0,2,0,0,3,0,0,1
10000000,0,0,42,0,0,0,13,2,0,3,0,0,3,0,0,0
10000000,0,0,41,0,0,0,22,2,1,2,0,0,3,0,0,0
124234,0,5479,52,0,0,0,26,2,1,3,0,0,1,2,0,1
10000000,0,1096,45,0,0,0,18,1,1,2,0,0,3,0,0,1
44061,0,4017,33,0,0,0,13,1,1,2,0,0,2,0,0,1
2547,0,8035,44,0,0,0,17,2,0,3,0,0,3,0,0,1
10000000,0,3287,53,0,0,0,16,1,1,1,0,0,3,0,0,1
10000000,0,6575,39,0,0,1,12,1,1,2,1,0,2,1,0,1
10000000,0,4383,27,0,0,0,27,2,1,2,0,0,0,0,0,1
44536,0,0,24,0,0,0,15,2,0,2,0,0,3,0,0,0
4570,0,6939,343,0,0,1,44,2,1,3,1,1,3,2,2,1
10000000,0,0,100,0,0,0,13,2,1,5,2,2,4,3,0,0
10000000,0,731,78,0,0,0,8,1,1,5,2,1,8,2,0,1
10000000,0,1461,42,0,0,0,29,2,0,3,0,0,1,0,0,1
10000000,0,4018,64,0,0,0,24,2,1,3,0,0,4,0,0,1
62842,0,0,42,0,0,0,24,4,0,4,0,0,3,0,0,0
10000000,0,3288,85,0,0,0,13,2,1,6,2,1,8,2,0,1
771840,0,0,156,0,0,0,16,2,1,15,0,0,6,0,0,0
33926,0,0,30,0,0,0,17,3,0,3,0,0,3,0,0,0
10000000,0,8712,38,0,0,0,10,2,0,3,0,0,2,0,0,1
10000000,0,0,52,0,0,0,15,3,0,3,0,0,5,0,0,0
160,0,0,42,0,0,0,15,2,0,2,0,0,5,0,0,0
5738,0,0,32,0,0,0,16,4,0,5,0,0,2,0,0,0
906392,0,0,116,0,0,0,10,2,1,6,2,1,12,2,0,0
145565,0,7305,51,0,0,0,14,2,0,3,0,0,7,0,0,1
10000000,0,0,62,0,0,0,24,2,1,3,0,0,3,0,0,0
10000000,0,0,84,0,0,1,19,1,1,5,1,1,4,2,0,0
10000000,0,0,36,0,0,0,10,1,1,2,0,0,3,0,0,0
646,0,0,61,0,0,0,48,7,1,8,0,0,1,0,0,0
10000000,0,0,38,0,0,1,16,1,1,2,0,0,3,0,0,0
483,0,0,17,0,0,0,10,2,0,2,0,0,2,0,0,0
10000000,0,8400,26,0,0,1,16,2,0,2,0,0,2,0,0,1
10000000,0,1461,13,0,0,0,9,1,1,1,0,0,2,0,0,1
10000000,0,8401,80,0,0,0,15,2,1,3,0,0,6,0,0,1
3503,0,9701,31,0,0,0,20,2,0,3,0,0,1,0,0,1
10000000,0,6210,27,0,0,0,15,1,1,1,0,0,3,0,0,1
5556,0,8034,42,0,0,0,13,1,0,2,0,0,3,0,1,1
41650,0,0,23,0,0,0,22,3,1,3,0,0,1,0,0,0
10000000,0,8626,18,0,0,0,10,2,0,2,0,0,1,0,0,1
10000000,0,6210,37,0,0,0,14,1,1,2,0,0,3,0,0,1
771840,0,0,156,0,0,0,16,2,1,15,0,0,6,0,0,0
10000000,0,7670,29,0,0,1,16,2,0,3,0,0,1,0,0,1
10000000,0,0,22,0,0,0,15,2,0,2,0,0,1,0,0,0
10000000,0,0,234,0,0,1,200,14,1,14,0,0,2,0,0,0
16999,0,9495,50,0,0,0,20,1,0,1,0,0,3,0,0,1
10000000,0,4748,31,0,0,1,31,2,1,2,0,0,0,0,0,1
10000000,0,366,83,0,0,0,21,1,1,1,0,0,3,0,1,1
10000000,0,0,195,0,0,0,16,3,1,4,1,1,2,2,1,0
10000000,0,7671,32,0,0,0,15,2,0,3,0,0,2,0,0,1
10000000,0,0,16,0,0,1,14,2,1,2,0,0,1,0,0,0
10000000,0,1461,14,0,0,0,11,1,1,1,0,0,1,0,0,1
10000000,0,0,15,0,0,0,10,1,0,1,0,0,2,0,0,0
29,0,10959,53,0,0,0,18,2,0,4,0,0,3,0,0,1
10000000,0,0,165,0,0,0,10,1,1,2,1,1,2,3,1,0
10000000,0,0,33,0,0,0,16,2,0,2,0,0,4,0,0,0
10000000,0,9495,29,0,0,0,15,2,0,3,0,0,2,0,0,1
10000000,0,0,71,0,0,0,17,1,1,2,1,0,5,1,1,0
10000000,0,0,35,0,0,0,27,2,0,2,0,0,2,0,0,0
6394,0,5114,46,0,0,0,33,2,1,3,0,0,1,0,0,1
44194,0,0,53,0,0,0,23,3,0,4,0,0,3,0,0,0
10000000,0,0,180,0,0,0,29,2,1,3,1,4,1,5,0,0
10000000,0,7305,53,0,0,0,24,1,1,2,0,0,4,0,0,1
10000000,0,0,114,0,0,0,11,1,1,2,1,0,2,3,1,0
996,0,8036,32,0,0,0,12,2,0,2,0,0,3,0,0,1
10000000,0,366,90,0,0,0,13,2,1,6,2,1,8,2,0,1
10000000,0,0,237,0,0,0,23,2,1,4,1,13,7,13,1,0
36862,0,7305,38,0,0,0,12,2,0,3,0,0,3,0,0,1
10000000,0,0,50,0,0,1,24,2,1,2,1,0,3,1,1,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,8400,33,0,0,0,21,2,0,3,0,0,1,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,46,0,1,0,14,2,1,4,0,0,4,0,0,0
10000000,0,0,28,0,0,0,18,3,0,4,0,0,1,0,0,0
10000000,0,731,32,0,0,0,31,2,1,2,0,0,1,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,8765,34,0,0,1,15,2,0,3,0,0,2,0,0,1
10000000,0,0,66,0,0,1,40,5,1,6,0,0,2,1,0,0
10000000,0,3653,48,0,0,0,22,2,1,3,0,0,3,0,0,1
10000000,0,0,72,0,0,0,18,2,1,3,1,0,3,1,2,0
10000000,0,730,30,0,0,0,14,1,1,2,0,0,2,0,0,1
44061,0,4017,33,0,0,0,13,1,1,2,0,0,2,0,0,1
10000000,0,0,104,0,0,1,26,5,1,7,1,3,5,4,0,0
10000000,0,0,78,0,0,0,21,2,1,4,0,1,5,2,1,0
10000000,0,0,41,0,0,1,20,2,1,3,1,0,1,1,0,0
990138,0,6574,49,0,0,0,16,1,1,2,0,0,3,0,0,1
10000000,0,0,25,0,0,1,13,1,1,1,0,0,3,0,0,0
10000000,0,6574,52,0,0,0,21,2,0,3,0,0,2,0,4,1
10000000,0,7670,119,0,0,0,21,3,1,5,0,0,10,0,0,1
10000000,0,0,125,0,0,1,48,4,1,5,1,1,1,2,2,0
4570,0,6939,369,0,0,1,44,2,1,3,1,2,3,3,6,1
133589,0,9863,53,0,0,0,24,2,0,3,1,0,1,1,0,1
10000000,0,0,171,0,0,0,12,1,1,2,1,1,2,3,1,0
10000000,0,4383,63,0,0,0,17,1,1,5,1,0,6,0,0,1
13777,0,10038,25,0,0,0,17,2,0,2,0,0,2,0,0,1
10000000,0,9495,34,0,0,0,11,2,0,3,0,0,2,0,0,1
10000000,0,0,58,0,0,0,14,3,1,6,0,0,5,0,0,0
10000000,0,0,36,0,0,0,24,2,0,3,0,0,1,0,0,0
10000000,0,0,82,0,0,1,39,5,1,7,1,1,5,2,2,0
245,0,0,33,0,0,0,20,2,1,2,0,0,2,0,0,0
6125,0,9861,43,0,0,0,11,2,0,3,0,0,3,0,0,1
15812,0,0,56,0,0,0,16,3,0,4,0,0,6,0,0,0
10000000,0,0,44,0,0,0,17,2,1,4,0,0,2,0,0,0
10000000,0,0,41,0,0,0,11,1,1,2,0,0,3,0,0,0
1267,0,9496,28,0,0,0,17,2,0,2,0,0,2,0,0,1
10000000,0,0,171,0,0,1,137,7,1,7,0,0,2,0,0,0
10000000,0,4018,44,0,0,1,15,1,1,4,0,0,3,0,0,1
10000000,0,3288,51,0,0,0,14,2,1,4,1,0,4,1,0,1
10000000,0,0,38,0,0,0,17,2,1,3,1,0,2,1,0,0
10000000,0,8035,65,0,0,0,9,2,1,3,0,0,10,0,0,1
10000000,0,5114,191,0,0,0,12,1,1,2,1,1,3,2,1,1
713140,0,8400,19,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,58,0,0,0,15,1,1,1,0,0,5,0,0,0
646,0,0,20,0,0,0,19,3,1,3,0,0,1,0,0,0
10000000,0,4749,81,0,0,0,15,2,1,3,0,0,7,0,1,1
10000000,0,0,102,0,0,0,20,2,1,12,0,0,3,0,0,0
10000000,0,9863,31,0,0,0,11,1,0,2,0,0,2,0,0,1
10000000,0,365,87,0,0,0,14,2,1,6,2,1,8,2,0,1
12749,0,8034,32,0,0,0,15,2,0,2,0,0,3,0,0,1
10000000,0,0,67,0,0,0,16,1,1,2,0,0,7,0,1,0
10000000,0,8036,34,0,0,0,16,2,0,3,1,0,1,1,0,1
55441,0,3652,12,0,0,0,6,1,1,1,0,0,1,0,0,1
10000000,0,0,58,0,0,1,24,2,1,2,0,0,5,0,0,0
10000000,0,0,52,0,0,0,18,2,1,4,0,0,3,0,1,0
10000000,0,4748,129,0,0,0,14,2,1,7,2,1,5,2,0,1
10000000,0,0,39,0,0,0,21,2,1,3,0,0,2,0,0,0
10000000,0,0,23,0,0,0,23,2,1,2,0,0,0,0,0,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,75,0,0,0,13,1,1,1,0,0,3,1,0,0
10000000,0,11689,23,0,0,0,11,2,0,3,0,0,1,0,0,1
10000000,0,0,223,0,0,0,28,2,1,7,1,10,1,10,4,0
12518,0,0,24,0,0,0,13,3,0,3,0,0,2,0,0,0
44061,0,4017,33,0,0,0,13,1,1,2,0,0,2,0,0,1
10000000,0,0,67,0,0,1,32,2,1,3,1,0,2,1,0,0
10000000,0,6940,32,0,0,0,13,2,0,3,0,0,2,0,0,1
1104,0,9496,45,0,0,0,18,2,0,3,0,0,3,0,0,1
4570,0,6939,369,0,0,1,44,2,1,3,1,2,3,3,2,1
10000000,0,0,73,0,0,0,26,2,1,3,0,0,4,0,0,0
293599,0,7671,46,0,0,0,25,2,0,2,0,0,4,0,0,1
